note,count
5 1.5,55
rest 0.5,97
rest 0.75,7
C3 1/3,163
C3 0.0,113
A3 0.5,1037
rest 209/3,1
rest 68.75,1
A3 1/3,448
A3 0.0,388
E-4 0.5,312
4.8 0.5,75
4.8.11 0.5,31
4.8.11 1.0,31
4 1.5,25
B3 1/3,294
B3 0.0,126
G4 0.5,633
C#4 1/3,249
C#4 0.0,154
B-4 0.5,350
11.3.6 0.5,23
11.3.6 1.0,12
2 1.5,13
F4 1/3,368
F4 0.0,705
B4 0.5,667
1 1.5,16
B4 1/3,297
B4 0.0,582
F5 1.0,187
0 0.5,231
0.4 0.5,351
7.0 0.5,79
10.0.4 1.0,14
2.5.9 0.5,43
2.5.9 1.0,84
10 0.5,200
7.10.2 0.5,36
4.7.10 0.5,26
5 0.5,197
5.9.0 0.5,98
5.9.0 1.0,67
0 1.0,156
5.9.0 0.75,2
0.4.7 0.25,82
5.9.0 0.25,126
7.10.0 0.25,23
8.11.0 0.25,1
9.0 0.5,213
10.0.2 0.5,1
7.10 0.0,40
C3 0.25,992
5.9 0.0,52
G3 0.25,2422
0.4 0.75,14
F#4 0.25,1089
G4 0.25,2440
6.9.0 0.25,36
6.9 0.25,220
7.10 0.25,328
A2 0.25,584
B-2 0.25,679
G2 0.25,576
B-3 0.75,25
E2 0.25,234
9.0 0.25,508
10.1 0.25,197
C3 0.75,8
10.2 0.5,150
0.4.7 0.5,159
D4 0.0,434
0.4 0.25,374
B-3 0.0,362
5.9 0.25,313
0.5 0.75,5
G#4 0.25,1051
A4 0.25,2546
8.11 0.25,230
B2 0.25,524
C5 1/3,452
C5 0.0,1360
F4 1.0,157
A2 0.5,255
F5 1/3,504
F5 0.0,1712
7.0 1.0,48
4.10 0.5,28
4.7 0.5,271
B-4 1/3,374
10 0.0,41
5.9 0.5,195
A4 0.0,870
G#4 0.0,250
B-4 0.0,825
F1 1.0,17
F2 1.0,61
A2 0.0,136
4 0.5,166
4 1.0,138
G3 0.5,658
4.7 1.5,16
E2 1.5,3
E3 1.0,210
E3 0.0,190
G3 0.0,253
11.3 0.5,48
2.5 0.5,291
F3 1.0,226
D3 1.0,178
B4 1.0,177
F3 0.0,348
G#3 0.0,110
C#3 1.0,61
C3 1.0,206
G#5 1.0,50
B2 1.0,50
D6 1.0,86
G#2 1.0,47
F6 1.0,26
G2 1.0,116
rest 14.25,1
F6 0.75,8
